mdl_raw,mdl_score,spr_raw,spr_score,hrpu_raw,hpru_score,sdc_raw,sdc_sec,sdc_score,ltk_raw,ltk_score,x2mr_finish,two_mr_sec,x2mr_score,apft_pushups,apft_situps,apft_runtime_sec,apft_score,ioct_score,ioct_time,age,hgt_in,wt_lb,bmi,sex,acft_score
150,62,3.4,5,10,60,2:57,177S,61,3,65,17:23:00,1043,74,59,77,946,290,804,4.04,24,60,110,21.85896618,Female,327
300,90,10,83,40,80,1:49,109S,91,10,80,12:28:00,748,100,100,95,722,353,914,2.34,24,71,166,23.58075217,Male,524
340,100,11.4,93,36,76,1:34,94S,100,12,84,18:00:00,1080,69,72,78,759,286,818,2.46,21,70,186,26.02509843,Male,522
180,65,6.2,64,3,25,2:06,126S,74,0,0,17:02:00,1022,76,45,86,986,289,758,4.35,23,65,164,26.84782131,Female,304
300,90,8.9,76,35,75,1:36,96S,99,15,90,13:42:00,822,98,90,88,738,339,818,2.46,22,72,175,23.00453261,Male,528
300,90,11.8,95,20,65,1:27,87S,100,13,86,17:49:00,1069,71,75,80,879,279,740,3.01,23,72,215,28.29293091,Male,507
340,100,14.6,100,46,86,1:24,84S,100,19,98,15:11:00,911,88,73,83,780,286,788,2.51,22,68,216,31.52037008,Male,572
260,82,10.9,89,28,69,1:48,108S,92,10,80,16:40:00,1000,78,83,90,782,297,872,2.4,21,68,174,26.68143614,Male,490
300,90,11.2,91,29,69,1:30,90S,100,4,68,14:49:00,889,91,70,68,802,270,740,3.01,22,71,205,27.31749992,Male,509
260,82,11.4,93,24,67,1:31,91S,100,9,78,16:43:00,1003,78,72,80,752,311,860,2.41,23,73,215,28.42514087,Male,498
300,90,9.7,81,38,78,1:42,102S,97,12,84,15:08:00,908,89,69,81,787,287,788,2.51,22,70,179,25.30617306,Male,519
260,82,6,64,29,69,1:39,99S,98,6,72,13:39:00,819,98,68,82,789,284,758,2.58,21,68,161,23.52929034,Male,483
240,78,10.8,89,26,68,1:33,93S,100,13,86,14:14:00,854,95,72,88,716,296,782,2.52,22,72,188,25.55069644,Male,516
300,90,9.3,79,33,73,1:30,90S,100,8,76,13:00:00,780,100,86,78,717,327,824,2.45,21,73,223,28.17672811,Male,518
150,62,3.6,15,18,64,2:09,129S,71,0,0,16:36:00,996,79,54,77,939,288,772,4.23,22,67,190,29.34957975,Female,291
260,82,8.8,75,29,69,1:25,85S,100,10,80,13:25:00,805,100,87,88,740,323,818,2.46,23,70,191,27.3191641,Male,506
260,82,9.5,80,45,85,1:28,88S,100,15,90,15:13:00,913,88,82,81,723,324,940,2.29,22,70,169,24.86113697,Male,525
260,82,10.5,87,26,68,1:42,102S,97,12,84,17:52:00,1072,70,73,79,819,287,800,2.49,21,68,180,26.63693246,Male,488
200,70,9,77,30,70,2:05,125S,75,9,78,15:55:00,955,83,75,82,769,299,762,2.57,26,67,184,29.59873187,Male,453
240,78,10.5,87,26,68,1:33,93S,100,2,62,16:27:00,987,80,67,75,812,263,718,3.07,23,71,221,30.18887573,Male,475
300,90,12.5,100,49,89,1:33,93S,100,20,100,15:58:00,958,83,74,71,783,278,762,2.56,23,69,185,26.93289838,Male,562
200,70,6.9,67,31,71,1:37,97S,99,15,90,13:32:00,812,99,69,84,732,297,908,2.35,21,66,166,26.36389779,Male,496
220,74,4.9,61,25,67,2:05,125S,75,0,0,16:30:00,990,79,50,70,858,287,874,3.4,26,66,153,23.38549403,Female,356
340,100,7.8,69,35,75,1:50,110S,90,15,90,15:37:00,937,85,62,88,721,287,718,3.1,21,68,175,25.4530688,Male,509
260,82,8.8,75,31,71,1:41,101S,97,9,78,12:20:00,740,100,69,75,694,288,758,2.58,22,75,190,23.29701629,Male,503
300,90,9.5,80,52,92,1:34,94S,100,13,86,13:39:00,819,98,90,96,780,337,812,2.47,21,67,172,25.75009082,Male,546
150,62,5.8,63,12,61,1:54,114S,86,12,84,14:48:00,888,91,60,94,786,350,946,3.16,21,70,154,21.56776113,Female,447
130,50,4.4,55,3,25,2:34,154S,65,0,0,20:35:00,1235,61,48,81,1099,266,718,5.07,23,62,144,25.65987537,Female,256
300,90,11.1,91,33,73,1:39,99S,98,7,74,12:59:00,779,100,738,85,715,319,926,2.32,26,74,188,22.92125796,Male,526
300,90,9.2,78,44,84,1:46,106S,94,13,86,13:12:00,792,100,83,94,700,342,860,2.41,22,68,163,24.37878421,Male,532
200,70,9,77,32,72,1:46,106S,94,10,80,16:14:00,974,81,69,80,769,271,758,2.58,23,72,178,23.40116248,Male,474
280,86,11.5,93,32,72,1:40,100S,98,12,84,15:10:00,910,88,89,84,773,289,718,3.08,21,75,184,22.92125796,Male,521
340,100,11.1,91,43,83,1:26,86S,100,13,86,16:09:00,969,82,72,79,762,308,830,2.44,21,74,195,24.83154578,Male,542
